Bit;SMARTS
KR336;[!#1][CH2][CH]([OH])[CH2]O[!#1]
KR337;[!#1][CH2][CH](O[CH3])O[CH3]
KR338;[!#1][CH2][CH]=[CH][!#1]
KR339;[!#1][CH2][CH]=[CH2]
KR340;[!#1][CH2][CH]1[CH2]OC2([CH2][CH2][CH2][CH2][CH2]2)O1
KR341;[!#1][CH2][CH2][!#1]
KR342;[!#1][CH2][CH2][CH]([CH3])[CH3]
KR343;[!#1][CH2][CH2][CH]=C([CH3])[CH3]
KR344;[!#1][CH2][CH2][CH2][!#1]
KR345;[!#1][CH2][CH2][CH2][CH]([CH2]O[!#1])O[!#1]
KR346;[!#1][CH2][CH2][CH2][CH2][!#1]
KR347;[!#1][CH2][CH2][CH2][CH2][CH2][!#1]
KR348;[!#1][CH2][CH2][CH2][CH2][CH2][CH2][!#1]
KR349;[!#1][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH3]
KR350;[!#1][CH2][CH2][CH2][CH2][CH2][CH3]
KR351;[!#1][CH2][CH2][CH2][CH2][CH2]C(=O)[NH][!#1]
KR352;[!#1][CH2][CH2][CH2][CH2][CH2]C(=O)[OH]
KR353;[!#1][CH2][CH2][CH2][CH2][CH2]C(=O)N([!#1])[CH2][!#1]
KR354;[!#1][CH2][CH2][CH2][CH2][CH3]
KR355;[!#1][CH2][CH2][CH2][CH2][NH]C(=O)[!#1]
KR356;[!#1][CH2][CH2][CH2][CH2][NH]C(=S)[NH][CH3]
KR357;[!#1][CH2][CH2][CH2][CH2][OH]
KR358;[!#1][CH2][CH2][CH2][CH2]C(=O)[OH]
KR359;[!#1][CH2][CH2][CH2][CH2]C(=O)O[CH3]
KR360;[!#1][CH2][CH2][CH2][CH2]N([!#1])C(=O)[!#1]
KR361;[!#1][CH2][CH2][CH2][CH2]S[!#1]
KR362;[!#1][CH2][CH2][CH2][CH3]
KR363;[!#1][CH2][CH2][CH2][NH][!#1]
KR364;[!#1][CH2][CH2][CH2][NH]C(=O)[!#1]
KR365;[!#1][CH2][CH2][CH2][NH]S(=O)(=O)[!#1]
KR366;[!#1][CH2][CH2][CH2][NH2]
KR367;[!#1][CH2][CH2][CH2][OH]
KR368;[!#1][CH2][CH2][CH2]C(=O)[!#1]
KR369;[!#1][CH2][CH2][CH2]C(=O)[NH][!#1]
KR370;[!#1][CH2][CH2][CH2]C(=O)[OH]
KR371;[!#1][CH2][CH2][CH2]C(=O)O[CH3]
KR372;[!#1][CH2][CH2][CH2]Cl
KR373;[!#1][CH2][CH2][CH2]N([CH2][CH3])[CH2][CH3]
KR374;[!#1][CH2][CH2][CH2]N([CH3])[CH3]
KR375;[!#1][CH2][CH2][CH2]O[!#1]
KR376;[!#1][CH2][CH2][CH2]OC(=O)[!#1]
KR377;[!#1][CH2][CH2][CH2]OC(=O)C([!#1])([!#1])[OH]
KR378;[!#1][CH2][CH2][CH2]OC(=O)C([CH3])([CH3])[CH3]
KR379;[!#1][CH2][CH2][CH2]S(=O)(=O)[OH]
KR380;[!#1][CH2][CH2][CH2]S(=O)(=O)O[Na]
KR381;[!#1][CH2][CH2][CH2]S[!#1]
KR382;[!#1][CH2][CH2][CH3]
KR383;[!#1][CH2][CH2][NH][!#1]
KR384;[!#1][CH2][CH2][NH][CH2]C(=O)[NH][!#1]
KR385;[!#1][CH2][CH2][NH]C([!#1])([!#1])[!#1]
KR386;[!#1][CH2][CH2][NH]C(=C1C(=O)O[CH](C1=O)c2[cH][cH][cH][cH][cH]2)[CH3]
KR387;[!#1][CH2][CH2][NH]C(=O)[!#1]
KR388;[!#1][CH2][CH2][NH]C(=O)[CH]([!#1])[CH3]
KR389;[!#1][CH2][CH2][NH]C(=O)[CH]=[CH][!#1]
KR390;[!#1][CH2][CH2][NH]C(=O)[CH2][!#1]
KR391;[!#1][CH2][CH2][NH]C(=O)[CH2][CH2][!#1]
KR392;[!#1][CH2][CH2][NH]C(=O)[CH2]O[!#1]
KR393;[!#1][CH2][CH2][NH]C(=O)[CH3]
KR394;[!#1][CH2][CH2][NH]C(=O)[NH][!#1]
KR395;[!#1][CH2][CH2][NH]C(=O)O[CH2][CH2]Cl
KR396;[!#1][CH2][CH2][NH]S(=O)(=O)[!#1]
KR397;[!#1][CH2][CH2][NH2]
KR398;[!#1][CH2][CH2][OH]
KR399;[!#1][CH2][CH2]C#N
KR400;[!#1][CH2][CH2]C(=N[OH])[!#1]
KR401;[!#1][CH2][CH2]C(=O)[!#1]
KR402;[!#1][CH2][CH2]C(=O)[CH3]
KR403;[!#1][CH2][CH2]C(=O)[NH][!#1]
KR404;[!#1][CH2][CH2]C(=O)[NH][NH]C(=O)[!#1]
KR405;[!#1][CH2][CH2]C(=O)[NH][NH]S(=O)(=O)[!#1]
KR406;[!#1][CH2][CH2]C(=O)[NH][NH2]
KR407;[!#1][CH2][CH2]C(=O)[NH]N=[CH][!#1]
KR408;[!#1][CH2][CH2]C(=O)[NH2]
KR409;[!#1][CH2][CH2]C(=O)[OH]
KR410;[!#1][CH2][CH2]C(=O)O[!#1]
KR411;[!#1][CH2][CH2]C(=O)O[CH2][CH3]
KR412;[!#1][CH2][CH2]C(=O)O[CH3]
KR413;[!#1][CH2][CH2]c1[cH][cH][cH][cH][cH]1
KR414;[!#1][CH2][CH2]c1[cH][cH]c(O[!#1])c(O[!#1])[cH]1
KR415;[!#1][CH2][CH2]c1c(nc2[cH][cH][cH][cH]c2c1[NH][!#1])N([!#1])[CH2]c3[cH][cH][cH][cH][cH]3
KR416;[!#1][CH2][CH2]c1c(nc2[cH][cH][cH][cH]c2c1[NH][!#1])N([!#1])[CH3]
KR417;[!#1][CH2][CH2]N([!#1])[CH]1[CH2][CH2][CH2]c2c1n([!#1])c3[cH][cH]c([CH3])[cH]c23
KR418;[!#1][CH2][CH2]N([!#1])[CH2][CH2][NH][!#1]
KR419;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH2][CH]([!#1])[!#1]
KR420;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH2][CH]([OH])[CH2]O[!#1]
KR421;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH2]C(=O)[!#1]
KR422;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH2]c1[cH][cH][cH][cH][cH]1
KR423;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH2]c1[cH][cH]c2O[CH2]Oc2[cH]1
KR424;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH3]
KR425;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH][cH][cH][cH]1
KR426;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH][cH][cH]c1O[!#1]
KR427;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH][cH][cH]n1
KR428;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH]c([!#1])[cH][cH]1
KR429;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KR430;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH]c(Cl)[cH][cH]1
KR431;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH]c(F)[cH][cH]1
KR432;[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1n[cH][cH][cH]n1
KR433;[!#1][CH2][CH2]N([!#1])[CH2][CH2]O[!#1]
KR434;[!#1][CH2][CH2]N([!#1])[CH2][CH3]
KR435;[!#1][CH2][CH2]N([!#1])[CH3]
KR436;[!#1][CH2][CH2]N([!#1])[NH2]
KR437;[!#1][CH2][CH2]N([!#1])c1[cH][cH][cH][cH][cH]1
KR438;[!#1][CH2][CH2]N([CH2][!#1])[CH2][!#1]
KR439;[!#1][CH2][CH2]N([CH2][CH2]O[!#1])C(=O)[!#1]
KR440;[!#1][CH2][CH2]N([CH2][CH3])[CH2][CH3]
KR441;[!#1][CH2][CH2]N([CH3])[CH2]C(=O)[NH][!#1]
KR442;[!#1][CH2][CH2]N([CH3])[CH3]
KR443;[!#1][CH2][CH2]N=[CH][!#1]
KR444;[!#1][CH2][CH2]O[!#1]
KR445;[!#1][CH2][CH2]O[CH2][CH]([OH])[CH2][!#1]
KR446;[!#1][CH2][CH2]O[CH2][CH]([OH])[CH2][NH2]
KR447;[!#1][CH2][CH2]OC(=O)[!#1]
KR448;[!#1][CH2][CH2]OC(=O)[CH2][CH2]C(=O)[NH][!#1]
KR449;[!#1][CH2][CH2]OC(=O)[CH3]
KR450;[!#1][CH2][CH2]OC(=O)[NH][CH]([!#1])C(Cl)(Cl)Cl
KR451;[!#1][CH2][CH2]OC(=O)[NH][CH]([NH][!#1])C(Cl)(Cl)Cl
KR452;[!#1][CH2][CH2]P(=O)([!#1])[CH2][CH3]
KR453;[!#1][CH2][CH2]S(=O)(=O)[!#1]
KR454;[!#1][CH2][CH2]S(=O)(=O)[CH2][CH2][!#1]
KR455;[!#1][CH2][CH2]S(=O)(=O)[CH2][CH2]C(=O)[NH2]
KR456;[!#1][CH2][CH2]S(=O)(=O)O[!#1]
KR457;[!#1][CH2][CH2]S(=O)[!#1]
KR458;[!#1][CH2][CH2]S[!#1]
KR459;[!#1][CH2][CH2]S[CH2][!#1]
KR460;[!#1][CH2][CH2]S[CH2][CH2][!#1]
KR461;[!#1][CH2][CH2]S[CH2][CH2]S[CH2][CH2][!#1]
KR462;[!#1][CH2][CH2]S[CH2]C(=O)[OH]
KR463;[!#1][CH2][CH2]SC(=[NH])[NH2]
KR464;[!#1][CH2][CH2]SC(=O)[CH3]
KR465;[!#1][CH2][CH2]SC(=S)[!#1]
KR466;[!#1][CH2][CH3]
KR467;[!#1][CH2][NH][!#1]
KR468;[!#1][CH2][NH][CH]([CH2][!#1])C(=O)[OH]
KR469;[!#1][CH2][NH][CH]([CH3])[CH2][CH3]
KR470;[!#1][CH2][NH][CH]([CH3])[CH3]
KR471;[!#1][CH2][NH][CH]([NH]C(=O)[!#1])C(Br)(Br)Br
KR472;[!#1][CH2][NH][CH]([NH]C(=O)[!#1])C(Cl)(Cl)Cl
KR473;[!#1][CH2][NH][CH]=C1C(=O)[CH2][NH]C1=O
KR474;[!#1][CH2][NH][CH]=C1C(=O)[NH]C(=O)[NH]C1=O
KR475;[!#1][CH2][NH][CH]=C1C(=O)[NH]C(=O)N([!#1])C1=O
KR476;[!#1][CH2][NH][CH2][!#1]
KR477;[!#1][CH2][NH]C([CH3])([CH3])[CH3]
KR478;[!#1][CH2][NH]C(=[NH])[NH]C(=[NH])[NH2]
KR479;[!#1][CH2][NH]C(=N[OH])[!#1]
KR480;[!#1][CH2][NH]C(=O)[!#1]
KR481;[!#1][CH2][NH]C(=O)[CH]([!#1])[CH2][!#1]
KR482;[!#1][CH2][NH]C(=O)[CH]=[CH]C(=O)[OH]
KR483;[!#1][CH2][NH]C(=O)[CH2][!#1]
KR484;[!#1][CH2][NH]C(=O)[CH2][CH2]C(=O)[OH]
KR485;[!#1][CH2][NH]C(=O)[CH2]Cl
KR486;[!#1][CH2][NH]C(=O)[CH2]O[!#1]
KR487;[!#1][CH2][NH]C(=O)[CH3]
KR488;[!#1][CH2][NH]C(=O)[NH][!#1]
KR489;[!#1][CH2][NH]C(=O)C(=[CH][!#1])[NH]C(=O)[!#1]
KR490;[!#1][CH2][NH]C(=S)[NH][!#1]
KR491;[!#1][CH2][NH]C(=S)[NH]C(=O)[!#1]
KR492;[!#1][CH2][NH]S(=O)(=O)[!#1]
KR493;[!#1][CH2][NH2]
KR494;[!#1][CH2][OH]
KR495;[!#1][CH2]Br
KR496;[!#1][CH2]C#C[!#1]
KR497;[!#1][CH2]C([CH3])([CH3])[CH3]
KR498;[!#1][CH2]C(=[CH2])[CH3]
KR499;[!#1][CH2]C(=N[NH][!#1])[CH3]
KR500;[!#1][CH2]C(=N[NH]C(=O)[!#1])[CH3]
KR501;[!#1][CH2]C(=N[NH]C(=O)[!#1])C(=O)[OH]
KR502;[!#1][CH2]C(=N[NH]C(=O)[CH2]O[!#1])[CH3]
KR503;[!#1][CH2]C(=N[OH])[!#1]
KR504;[!#1][CH2]C(=O)[!#1]
KR505;[!#1][CH2]C(=O)[CH3]
KR506;[!#1][CH2]C(=O)[NH][!#1]
KR507;[!#1][CH2]C(=O)[NH][CH]([!#1])[CH3]
KR508;[!#1][CH2]C(=O)[NH][CH]([!#1])C(=O)[NH][!#1]
KR509;[!#1][CH2]C(=O)[NH][CH]([!#1])C(Cl)(Cl)Cl
KR510;[!#1][CH2]C(=O)[NH][CH]([NH][!#1])C(Cl)(Cl)Cl
KR511;[!#1][CH2]C(=O)[NH][CH]([NH]C(=S)[NH][!#1])C(Cl)(Cl)Cl
KR512;[!#1][CH2]C(=O)[NH][CH](S[!#1])C(Cl)(Cl)Cl
KR513;[!#1][CH2]C(=O)[NH][CH2][CH2][OH]
KR514;[!#1][CH2]C(=O)[NH][CH2][CH2]S(=O)(=O)[OH]
KR515;[!#1][CH2]C(=O)[NH][NH][!#1]
KR516;[!#1][CH2]C(=O)[NH][NH]C(=O)[!#1]
KR517;[!#1][CH2]C(=O)[NH][NH2]
KR518;[!#1][CH2]C(=O)[NH][OH]
KR519;[!#1][CH2]C(=O)[NH]N([!#1])[CH3]
KR520;[!#1][CH2]C(=O)[NH]N=[CH][!#1]
KR521;[!#1][CH2]C(=O)[NH]N=[CH][CH]([!#1])[!#1]
KR522;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH][cH]1
KR523;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1[N+](=O)[O-]
KR524;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1[OH]
KR525;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1Br
KR526;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1Cl
KR527;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KR528;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH]c(I)[cH]1
KR529;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH]o1
KR530;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH]s1
KR531;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KR532;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH]c([OH])[cH]c1[OH]
KR533;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH]c(Br)[cH][cH]1
KR534;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH]c(Cl)[cH][cH]1
KR535;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH]c2O[CH2]Oc2[cH]1
KR536;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][nH]c2[cH][cH][cH][cH]c12
KR537;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]
KR538;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH]c(N=Nc2[cH][cH][cH][cH][cH]2)[cH][cH]c1[OH]
KR539;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH]c2[cH][cH][cH][cH]c2nc1Cl
KR540;[!#1][CH2]C(=O)[NH]N=[CH]c1[cH]c2O[CH2]Oc2[cH]c1[N+](=O)[O-]
KR541;[!#1][CH2]C(=O)[NH]N=[CH]c1c([OH])[cH][cH]c2[cH][cH][cH][cH]c12
KR542;[!#1][CH2]C(=O)[NH]N=[CH]c1c(Cl)[cH][cH][cH]c1Cl
KR543;[!#1][CH2]C(=O)[NH]N=C([!#1])[CH3]
KR544;[!#1][CH2]C(=O)[NH]N=C([CH3])c1[cH][cH]c(Br)[cH][cH]1
KR545;[!#1][CH2]C(=O)[NH]N=C1[CH2][CH2][CH2]c2c1non2=O
KR546;[!#1][CH2]C(=O)[NH]S(=O)(=O)[!#1]
KR547;[!#1][CH2]C(=O)[NH2]
KR548;[!#1][CH2]C(=O)[OH]
KR549;[!#1][CH2]C(=O)C([CH3])([CH3])[CH3]
KR550;[!#1][CH2]C(=O)c1[cH][cH][cH][cH][cH]1
KR551;[!#1][CH2]C(=O)c1[cH][cH]c([!#1])[cH][cH]1
KR552;[!#1][CH2]C(=O)c1[cH][cH]c([CH3])[cH][cH]1
KR553;[!#1][CH2]C(=O)c1[cH][cH]c(Cl)c(Cl)[cH]1
KR554;[!#1][CH2]C(=O)N([!#1])[CH3]
KR555;[!#1][CH2]C(=O)N([CH3])[CH]([!#1])C(=O)[NH][!#1]
KR556;[!#1][CH2]C(=O)N=[CH][NH][NH][!#1]
KR557;[!#1][CH2]C(=O)O[!#1]
KR558;[!#1][CH2]C(=O)O[CH2][CH2][CH2][CH3]
KR559;[!#1][CH2]C(=O)O[CH2][CH2][NH]C(=O)[!#1]
KR560;[!#1][CH2]C(=O)O[CH2][CH3]
KR561;[!#1][CH2]C(=O)O[CH2]C(=O)[!#1]
KR562;[!#1][CH2]C(=O)O[CH3]
KR563;[!#1][CH2]C(=O)O[Na]
KR564;[!#1][CH2]C(=S)[!#1]
KR565;[!#1][CH2]C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3
KR566;[!#1][CH2]c1[cH][cH][cH][cH][cH]1
KR567;[!#1][CH2]c1[cH][cH][cH][cH]c1Br
KR568;[!#1][CH2]c1[cH][cH][cH][cH]c1C(F)(F)F
KR569;[!#1][CH2]c1[cH][cH][cH][cH]c1Cl
KR570;[!#1][CH2]c1[cH][cH][cH][cH]c1F
KR571;[!#1][CH2]c1[cH][cH][cH]c([CH3])[cH]1
KR572;[!#1][CH2]c1[cH][cH][cH]c([OH])[cH]1
KR573;[!#1][CH2]c1[cH][cH][cH]c(Br)[cH]1
KR574;[!#1][CH2]c1[cH][cH][cH]c(Cl)[cH]1
KR575;[!#1][CH2]c1[cH][cH][cH]c(Cl)c1Cl
KR576;[!#1][CH2]c1[cH][cH][cH]c(F)[cH]1
KR577;[!#1][CH2]c1[cH][cH][cH]c(O[!#1])[cH]1
KR578;[!#1][CH2]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12
KR579;[!#1][CH2]c1[cH][cH][cH]n[cH]1
KR580;[!#1][CH2]c1[cH][cH][cH]o1
KR581;[!#1][CH2]c1[cH][cH][cH]s1
KR582;[!#1][CH2]c1[cH][cH]c([!#1])[cH][cH]1
KR583;[!#1][CH2]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KR584;[!#1][CH2]c1[cH][cH]c([cH][cH]1)C(F)(F)F
KR585;[!#1][CH2]c1[cH][cH]c([CH3])[cH][cH]1
KR586;[!#1][CH2]c1[cH][cH]c(Br)[cH][cH]1
KR587;[!#1][CH2]c1[cH][cH]c(Br)s1
KR588;[!#1][CH2]c1[cH][cH]c(Cl)[cH][cH]1
KR589;[!#1][CH2]c1[cH][cH]c(Cl)[cH]c1Cl
KR590;[!#1][CH2]c1[cH][cH]c(F)[cH][cH]1
KR591;[!#1][CH2]c1[cH][cH]c(F)[cH]c1F
KR592;[!#1][CH2]c1[cH][cH]c(O[!#1])[cH][cH]1
KR593;[!#1][CH2]c1[cH][cH]c(O[!#1])c(O[!#1])[cH]1
KR594;[!#1][CH2]c1[cH][cH]c(S[CH3])[cH][cH]1
KR595;[!#1][CH2]c1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1
KR596;[!#1][CH2]c1[cH][cH]c2O[CH2]Oc2[cH]1
KR597;[!#1][CH2]c1[cH][cH]o[cH]1
KR598;[!#1][CH2]c1[cH][cH]s[cH]1
KR599;[!#1][CH2]c1[cH][nH]c2[cH][cH][cH][cH]c12
KR600;[!#1][CH2]c1[cH]c([CH2][!#1])c([OH])c([!#1])n1
KR601;[!#1][CH2]c1c([!#1])[cH][cH]c2[cH][cH][cH][cH]c12
KR602;[!#1][CH2]c1c([NH][!#1])sc2[CH2][CH2][CH2][CH2]c12
KR603;[!#1][CH2]c1nc2[cH][cH][cH][cH]c2[nH]1
KR604;[!#1][CH2]Cl
KR605;[!#1][CH2]N([!#1])[CH2][!#1]
KR606;[!#1][CH2]N([!#1])[CH2][CH2][OH]
KR607;[!#1][CH2]N([!#1])[CH2][CH3]
KR608;[!#1][CH2]N([!#1])[CH3]
KR609;[!#1][CH2]N([!#1])[NH]C(=O)[CH2][!#1]
KR610;[!#1][CH2]N([!#1])C(=O)[!#1]
KR611;[!#1][CH2]N([!#1])C(=O)[CH2][CH2]C(=O)[!#1]
KR612;[!#1][CH2]N([!#1])C(=O)[CH2]O[!#1]
KR613;[!#1][CH2]N([!#1])C(=O)[CH3]
KR614;[!#1][CH2]N([!#1])C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]
KR615;[!#1][CH2]N([!#1])C(=O)c1[cH]c([cH][cH]c1C(=O)[!#1])[N+](=O)[O-]
KR616;[!#1][CH2]N([!#1])C(=O)c1[cH]c(Br)[cH][cH]c1C(=O)[!#1]
KR617;[!#1][CH2]N([!#1])c1[cH][cH][cH][cH]c1C(=O)C(=O)[!#1]
KR618;[!#1][CH2]N([!#1])N=[CH][!#1]
KR619;[!#1][CH2]N([!#1])S(=O)(=O)[NH]C(=O)[NH][!#1]
KR620;[!#1][CH2]N([CH2][!#1])[CH2][!#1]
KR621;[!#1][CH2]N([CH2][!#1])C(=O)[!#1]
KR622;[!#1][CH2]N([CH2][!#1])C(=O)[NH][!#1]
KR623;[!#1][CH2]N([CH2][!#1])S(=O)(=O)[!#1]
KR624;[!#1][CH2]N([CH2][CH]([OH])[CH2]O[!#1])C([CH3])([CH3])[CH3]
KR625;[!#1][CH2]N([CH2][CH]=[CH2])[CH2][CH]=[CH2]
KR626;[!#1][CH2]N([CH2][CH2][OH])[CH2][CH2][OH]
KR627;[!#1][CH2]N([CH2][CH3])[CH2][CH3]
KR628;[!#1][CH2]N([CH2]C(=O)[OH])[CH2]C(=O)[OH]
KR629;[!#1][CH2]N([CH3])[CH3]
KR630;[!#1][CH2]N([CH3])C(=O)[!#1]
KR631;[!#1][CH2]N([CH3])S(=O)(=O)[!#1]
KR632;[!#1][CH2]N([OH])[CH2][!#1]
KR633;[!#1][CH2]N(C([CH3])([CH3])[CH3])S(=O)(=O)[!#1]
KR634;[!#1][CH2]N(C(=O)[!#1])C([CH3])([CH3])[CH3]
KR635;[!#1][CH2]N(C(=O)[CH2][CH2]C(=O)[OH])C([CH3])([CH3])[CH3]
KR636;[!#1][CH2]N=[CH][!#1]
KR637;[!#1][CH2]N=c1[cH][cH]n([!#1])[cH][cH]1
KR638;[!#1][CH2]N1[CH2][CH2][CH]([!#1])[CH2][CH2]1
KR639;[!#1][CH2]N1[CH2][CH2][CH2][CH2][CH2]1
KR640;[!#1][CH2]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH][cH][cH][cH]2
KR641;[!#1][CH2]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH][cH][cH]n2
KR642;[!#1][CH2]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH]c(Cl)[cH][cH]2
KR643;[!#1][CH2]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH]c(F)[cH][cH]2
KR644;[!#1][CH2]N1[CH2][CH2]O[CH2][CH2]1
KR645;[!#1][CH2]N1C(=O)c2[cH][cH][cH][cH]c2C1=O
KR646;[!#1][CH2]n1nnc2[cH][cH][cH][cH]c12
KR647;[!#1][CH2]O[!#1]
KR648;[!#1][CH2]O[CH2][!#1]
KR649;[!#1][CH2]O[CH2][CH]([OH])[CH2][!#1]
KR650;[!#1][CH2]O[CH2][CH]([OH])[CH2][NH][CH]([CH3])[CH3]
KR651;[!#1][CH2]O[CH2][CH3]
KR652;[!#1][CH2]O[CH3]
KR653;[!#1][CH2]OC([!#1])([!#1])[!#1]
KR654;[!#1][CH2]OC(=O)[!#1]
KR655;[!#1][CH2]OC(=O)[CH]([CH]([!#1])S[CH2][!#1])[N+](=O)[O-]
KR656;[!#1][CH2]OC(=O)[CH2][CH2]C(=O)[OH]
KR657;[!#1][CH2]OC(=O)[CH2][CH3]
KR658;[!#1][CH2]OC(=O)[CH3]
KR659;[!#1][CH2]OC(=O)[NH][!#1]
KR660;[!#1][CH2]OC(=O)[NH][CH]([NH]C(=S)[NH][!#1])C(Cl)(Cl)Cl
KR661;[!#1][CH2]OP(=S)(O[CH2][CH3])O[CH2][CH3]
KR662;[!#1][CH2]OS(=O)(=O)[!#1]
KR663;[!#1][CH2]S(=O)(=O)[!#1]
KR664;[!#1][CH2]S(=O)(=O)[NH][!#1]
KR665;[!#1][CH2]S[!#1]
KR666;[!#1][CH2]S[CH2]C(=O)[NH]N=[CH][!#1]
KR667;[!#1][CH2]S[CH2]S[CH2][!#1]
KR668;[!#1][CH2]SC(=[NH])[NH2]
KR669;[!#1][CH3]
KR670;[!#1][N]([CH3])([CH3])[CH3]
KR671;[!#1][N+]([CH3])([CH3])[CH3]
KR672;[!#1][N+](=O)[O-]
KR673;[!#1][n+]1[cH][cH][cH][cH][cH]1
KR674;[!#1][n+]1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1
KR675;[!#1][n+]1c([CH3])sc2[cH][cH]c(O[CH3])[cH]c12
KR676;[!#1][NH](=O)[OH]
KR677;[!#1][NH][!#1]
KR678;[!#1][NH][CH]([!#1])[!#1]
KR679;[!#1][NH][CH]([!#1])[CH]([CH3])[CH3]
KR680;[!#1][NH][CH]([!#1])[CH2][CH]([!#1])[CH3]
KR681;[!#1][NH][CH]([!#1])[CH2][CH2][CH3]
KR682;[!#1][NH][CH]([!#1])[CH2]C(=O)[!#1]
KR683;[!#1][NH][CH]([!#1])[CH3]
KR684;[!#1][NH][CH]([!#1])C(Br)(Br)Br
KR685;[!#1][NH][CH]([!#1])C(Cl)(Cl)Cl
KR686;[!#1][NH][CH]([!#1])P(=O)(O[CH]([CH3])[CH3])O[CH]([CH3])[CH3]
KR687;[!#1][NH][CH]([!#1])P(=O)(O[CH2][CH3])O[CH2][CH3]
KR688;[!#1][NH][CH]([!#1])P(=O)(O[CH3])O[CH3]
KR689;[!#1][NH][CH]([CH]([CH3])[CH3])C(=O)[OH]
KR690;[!#1][NH][CH]([CH2][CH]([CH3])[CH3])C(=O)[!#1]
KR691;[!#1][NH][CH]([CH2][CH]([CH3])[CH3])C(=O)[OH]
KR692;[!#1][NH][CH]([CH2][CH2][OH])C(=O)[NH][!#1]
KR693;[!#1][NH][CH]([CH2][CH2]S[CH3])C(=O)[OH]
KR694;[!#1][NH][CH]([CH2][CH3])C(=O)[OH]
KR695;[!#1][NH][CH]([CH2]C([!#1])([CH3])[CH3])[CH2]C([CH3])([CH3])[NH][!#1]
KR696;[!#1][NH][CH]([CH2]C(=O)[OH])c1[cH][cH][cH][cH][cH]1
KR697;[!#1][NH][CH]([CH2]c1[cH][cH][cH][cH][cH]1)C(=O)[!#1]
KR698;[!#1][NH][CH]([CH2]c1[cH][cH][cH][cH][cH]1)C(=O)[OH]
KR699;[!#1][NH][CH]([CH2]c1[cH][cH]c([OH])[cH][cH]1)C(=O)[!#1]
KR700;[!#1][NH][CH]([CH2]c1[cH][nH]c2[cH][cH][cH][cH]c12)C(=O)[!#1]
KR701;[!#1][NH][CH]([CH2]c1[cH][nH]c2[cH][cH][cH][cH]c12)C(=O)[OH]
KR702;[!#1][NH][CH]([CH3])[CH2][CH2][CH2]N([CH2][CH3])[CH2][CH3]
KR703;[!#1][NH][CH]([CH3])[CH2][CH3]
